wave_id,date,start_time,end_time,duration_sec,total_orders,orders_complete,orders_pending,pct_pending,total_reservations,total_units_reserved,total_missing_units,unique_items_reserved,unique_items_missing,unique_positions,unique_zones,total_volumes,total_pkl,missing_lines_count,avg_time_per_order,avg_interval_between_orders,avg_reservations_per_order,max_reservations_per_order,avg_units_per_order
24619,2026-03-04,07:38:40.358,07:53:20.661,880.303,129,102,27,20.9,721,80321,15648,104,16,118,1,2069,123,92,6.8241,6.7905,5.86,32,653.0
24620,2026-03-04,12:57:45.454,13:31:48.488,2043.034,300,171,129,43.0,764,93943,31125,93,23,104,1,2186,245,184,6.8101,6.8097,3.12,13,383.4
24621,2026-03-04,17:39:35.783,18:06:32.105,1616.322,234,157,77,32.9,457,68985,14186,129,18,136,1,1637,189,80,6.9074,6.9082,2.42,16,365.0
24622,2026-03-05,03:35:10.155,03:46:44.160,694.005,101,86,15,14.9,796,129696,2340,118,4,148,1,3045,100,17,6.8713,6.8713,7.96,52,1297.0
24623,2026-03-05,09:52:10.464,10:32:51.799,2441.335,360,325,35,9.7,1162,125803,1950,132,9,158,1,3067,356,36,6.7815,6.7819,3.26,19,353.4
24624,2026-03-05,14:38:17.739,14:48:31.409,613.67,89,66,23,25.8,481,72189,26042,132,21,145,1,2181,85,101,6.8952,6.8959,5.66,49,849.3
24625,2026-03-05,21:35:49.169,21:56:34.775,1245.606,181,157,24,13.3,379,57691,35764,113,12,126,1,1557,176,26,6.8818,6.8812,2.15,11,327.8
24626,2026-03-06,05:19:16.495,05:31:17.813,721.318,105,90,15,14.3,567,79263,3355,156,5,178,1,2720,104,15,6.8697,6.8722,5.45,25,762.1
24800,2026-05-06,04:48:16.501,05:51:19.341,3782.84,496,231,265,53.4,1177,136481,84383,148,48,172,1,3874,345,538,7.6267,7.6262,3.41,34,395.6
24801,2026-05-06,14:40:48.326,16:17:49.267,5820.941,760,451,309,40.7,1596,208348,103415,179,52,209,1,4704,622,400,7.6591,7.6586,2.57,19,335.0
